"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDALCO",876,913,876,866.7,888,2.46,12727309,11361923290.48,"08-Aug-2025"
"TECHM",1380,1422,1367.1,1391.6,1414.7,1.66,3048646,4212314178.2,"20-Oct-2025"
"COALINDIA",445.05,459.9,443.1,445.05,450.1,1.13,19114688,8682655877.12,"18-Feb-2026"
"ONGC",282.75,288.35,281.95,281.95,284.9,1.05,44866906,12814885691.72,"18-Feb-2026"
"POWERGRID",292.05,297.9,292,295.5,295.8,0.1,23105779,6840465872.95,"09-Feb-2026"
"RELIANCE",1335,1365,1334.1,1348.1,1348.3,0.01,24393861,32864385293.64,"14-Aug-2025"
